"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.069287,3.3934,5.652e-20,0.40783,1,13.801,23.393,-23.269,0
0.072171,3.3977,5.1748e-20,0.39112,1,13.871,23.4,-23.2,0
0.075031,3.4021,4.7018e-20,0.37429,1,13.94,23.407,-23.131,0
0.078992,3.4047,4.2127e-20,0.35761,1,14.01,23.414,-23.062,0
0.083105,3.4071,3.7547e-20,0.34074,1,14.079,23.421,-22.993,0
0.087323,3.4095,3.3292e-20,0.32366,1,14.148,23.428,-22.924,0
0.091644,3.4119,2.9363e-20,0.30637,1,14.218,23.435,-22.855,0
0.09607,3.4142,2.5758e-20,0.28887,1,14.287,23.442,-22.786,0
0.1006,3.4166,2.2478e-20,0.27117,1,14.356,23.449,-22.717,0
0.1063,3.4194,2.0264e-20,0.25208,1,14.426,23.456,-22.648,0
0.11275,3.4226,1.8536e-20,0.23188,1,14.495,23.463,-22.579,0
0.11921,3.4259,1.6722e-20,0.21135,1,14.564,23.47,-22.51,0
0.12568,3.4293,1.4823e-20,0.19046,1,14.634,23.477,-22.441,0
0.13218,3.4329,1.2837e-20,0.16923,1,14.703,23.484,-22.372,0
0.13868,3.4365,1.0766e-20,0.14765,1,14.772,23.491,-22.303,0
0.14521,3.4403,8.6089e-21,0.12573,1,14.842,23.498,-22.234,0
0.15175,3.4442,6.3664e-21,0.10346,1,14.911,23.505,-22.165,0
0.15831,3.4483,4.0382e-21,0.080851,1,14.98,23.512,-22.096,0
0.16488,3.4524,1.6246e-21,0.057893,1,15.05,23.519,-22.027,0
0.17147,3.4567,-8.744e-22,0.034591,1,15.119,23.526,-21.958,0
0.17807,3.4611,-3.4585e-21,0.010944,1,15.189,23.533,-21.889,0
0.18469,3.4656,-6.1281e-21,-0.013047,1,15.258,23.54,-21.82,0
0.19133,3.4702,-8.8827e-21,-0.03738,1,15.327,23.547,-21.751,0
0.19798,3.475,-1.1722e-20,-0.062057,1,15.397,23.554,-21.682,0
0.20894,3.4822,-1.0464e-20,-0.10135,1,15.466,23.561,-21.613,0
0.22203,3.4927,-1.093e-20,-0.14988,1,15.535,23.568,-21.544,0
0.23468,3.5057,-1.6471e-20,-0.19955,1,15.605,23.575,-21.475,0
0.2469,3.5211,-2.7111e-20,-0.25036,1,15.674,23.582,-21.406,0
0.25868,3.5389,-4.2875e-20,-0.30232,1,15.743,23.589,-21.337,0
0.27001,3.5593,-6.3786e-20,-0.35542,1,15.813,23.596,-21.268,0
0.28008,3.5746,-7.9318e-20,-0.41644,1,15.882,23.603,-21.199,0
0.29086,3.5808,-7.8213e-20,-0.483,1,15.951,23.61,-21.13,0
0.30451,3.5711,-7.1882e-20,-0.51427,1,16.021,23.617,-21.061,0
0.31912,3.5631,-7.3071e-20,-0.5406,1,16.09,23.624,-20.992,0
0.33468,3.5566,-8.1815e-20,-0.56195,1,16.16,23.631,-20.923,0
0.35122,3.5518,-9.8146e-20,-0.57831,1,16.229,23.638,-20.854,0
0.36873,3.5486,-1.221e-19,-0.58965,1,16.298,23.645,-20.785,0
0.38721,3.5469,-1.5371e-19,-0.59595,1,16.368,23.652,-20.716,0
0.40667,3.547,-1.9301e-19,-0.5972,1,16.437,23.659,-20.647,0
0.42711,3.5486,-2.4003e-19,-0.59335,1,16.506,23.666,-20.578,0
0.45419,3.5394,-2.9776e-19,-0.57543,1,16.576,23.673,-20.509,0
0.47855,3.5152,-2.993e-19,-0.55802,1,16.645,23.68,-20.44,0
0.50157,3.4939,-2.9466e-19,-0.53986,1,16.714,23.687,-20.371,0
0.52323,3.4756,-2.8381e-19,-0.52094,1,16.784,23.694,-20.302,0
0.54354,3.4603,-2.6673e-19,-0.50127,1,16.853,23.701,-20.233,0
0.56249,3.4479,-2.434e-19,-0.48084,1,16.922,23.708,-20.164,0
0.58007,3.4386,-2.1378e-19,-0.45964,1,16.992,23.715,-20.095,0
0.59627,3.4322,-1.7784e-19,-0.43768,1,17.061,23.722,-20.026,0
0.61109,3.4289,-1.3558e-19,-0.41495,1,17.13,23.729,-19.957,0
0.62445,3.4281,-8.6658e-20,-0.39087,1,17.2,23.736,-19.888,0
0.635,3.4176,-2.8091e-20,-0.35187,1,17.269,23.743,-19.819,0
0.64607,3.4136,2.7239e-20,-0.31718,1,17.339,23.75,-19.75,0
0.65739,3.4042,4.521e-20,-0.29699,1,17.408,23.757,-19.681,0
0.66838,3.3923,4.7535e-20,-0.28319,1,17.477,23.764,-19.612,0
0.67902,3.3825,4.9424e-20,-0.27098,1,17.547,23.771,-19.543,0
0.68931,3.3747,5.0874e-20,-0.26035,1,17.616,23.778,-19.474,0
0.69924,3.3691,5.1883e-20,-0.25132,1,17.685,23.785,-19.405,0
0.70882,3.3656,5.2452e-20,-0.24388,1,17.755,23.792,-19.336,0
0.7174,3.3635,5.2266e-20,-0.23767,1,17.824,23.799,-19.267,0
0.716,3.3542,4.6827e-20,-0.22649,1,17.893,23.806,-19.198,0
0.71577,3.348,4.1441e-20,-0.21648,1,17.963,23.813,-19.129,0
0.71671,3.3449,3.611e-20,-0.20766,1,18.032,23.82,-19.06,0
0.71881,3.345,3.0833e-20,-0.20001,1,18.101,23.827,-18.991,0
0.7221,3.3482,2.561e-20,-0.19356,1,18.171,23.834,-18.922,0
0.72656,3.3545,2.0442e-20,-0.18829,1,18.24,23.841,-18.853,0
0.73221,3.3641,1.5328e-20,-0.18422,1,18.309,23.848,-18.784,0
0.73692,3.3635,1.0373e-20,-0.1785,1,18.379,23.855,-18.715,0
0.74101,3.3574,5.9151e-21,-0.17184,1,18.448,23.862,-18.646,0
0.74249,3.3483,-7.4498e-23,-0.16254,1,18.518,23.869,-18.577,0
0.74296,3.3383,-5.8162e-21,-0.1521,1,18.587,23.876,-18.508,0
0.74397,3.3297,-1.0098e-20,-0.14207,1,18.656,23.883,-18.439,0
0.74551,3.3224,-1.2915e-20,-0.13245,1,18.726,23.89,-18.37,0
0.74758,3.3165,-1.4261e-20,-0.12325,1,18.795,23.897,-18.301,0
0.75019,3.3119,-1.4132e-20,-0.11445,1,18.864,23.904,-18.232,0
0.75334,3.3086,-1.2522e-20,-0.10607,1,18.934,23.911,-18.163,0
0.75702,3.3067,-9.4245e-21,-0.098108,1,19.003,23.918,-18.094,0
0.76126,3.3061,-4.8355e-21,-0.090562,1,19.072,23.925,-18.025,0
