"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.88049,1.9216,-1.031e-19,-1.3148,1,18.349,56.813,12.759,0
0.93573,2.0422,-1.0957e-19,-1.0468,1,18.42,56.82,12.83,0
0.99096,2.1627,-1.1604e-19,-0.77885,1,18.491,56.827,12.901,0
1.0271,2.2329,-1.1248e-19,-0.72304,1,18.562,56.834,12.971,0
1.0629,2.3021,-1.0874e-19,-0.67126,1,18.633,56.841,13.042,0
1.0876,2.3501,-1.0328e-19,-0.61865,1,18.704,56.848,13.112,0
1.0849,2.3457,-9.3581e-20,-0.56401,1,18.774,56.855,13.182,0
1.0823,2.3414,-8.3884e-20,-0.50937,1,18.845,56.862,13.253,0
1.0797,2.3371,-7.4187e-20,-0.45472,1,18.916,56.869,13.323,0
1.0771,2.3327,-6.449e-20,-0.40008,1,18.987,56.876,13.394,0
1.0744,2.3284,-5.4793e-20,-0.34544,1,19.058,56.883,13.465,0
1.0718,2.324,-4.5096e-20,-0.29079,1,19.129,56.89,13.535,0
1.0692,2.3197,-3.5399e-20,-0.23615,1,19.199,56.897,13.606,0
1.0666,2.3153,-2.5702e-20,-0.18151,1,19.27,56.904,13.676,0
1.0733,2.3312,-2.1333e-20,-0.14929,1,19.341,56.911,13.747,0
1.0853,2.3582,-1.9918e-20,-0.12952,1,19.412,56.918,13.817,0
1.0973,2.3852,-1.8503e-20,-0.10974,1,19.483,56.925,13.887,0
1.1093,2.4122,-1.7087e-20,-0.089959,1,19.554,56.932,13.958,0
1.1213,2.4392,-1.5672e-20,-0.07018,1,19.625,56.939,14.028,0
1.1333,2.4663,-1.4257e-20,-0.050402,1,19.695,56.946,14.099,0
1.1453,2.4933,-1.2842e-20,-0.030623,1,19.766,56.953,14.17,0
1.1518,2.5139,-1.1101e-20,-0.011171,1,19.837,56.96,14.24,0
1.1575,2.5334,-9.3074e-21,0.0082278,1,19.908,56.967,14.311,0
1.1631,2.553,-7.5141e-21,0.027627,1,19.979,56.974,14.381,0
1.1688,2.5725,-5.7208e-21,0.047026,1,20.05,56.981,14.451,0
1.1588,2.5546,-6.2013e-21,0.057543,1,20.12,56.988,14.522,0
1.1478,2.5344,-6.8276e-21,0.06749,1,20.191,56.995,14.592,0
1.1368,2.5141,-7.4539e-21,0.077438,1,20.262,57.002,14.663,0
1.1259,2.4938,-8.0802e-21,0.087385,1,20.333,57.009,14.733,0
1.1149,2.4736,-8.7065e-21,0.097333,1,20.404,57.016,14.804,0
1.1039,2.4533,-9.3328e-21,0.10728,1,20.475,57.023,14.875,0
1.0929,2.433,-9.959e-21,0.11723,1,20.546,57.03,14.945,0
1.0819,2.4127,-1.0585e-20,0.12717,1,20.616,57.037,15.016,0
1.0709,2.3925,-1.1212e-20,0.13712,1,20.687,57.044,15.086,0
1.06,2.3722,-1.1838e-20,0.14707,1,20.758,57.051,15.156,0
1.0579,2.3778,-8.7444e-21,0.16208,1,20.829,57.058,15.227,0
1.0564,2.3851,-5.3941e-21,0.17744,1,20.9,57.065,15.297,0
1.055,2.3925,-2.0438e-21,0.1928,1,20.971,57.072,15.368,0
1.0536,2.3998,1.3066e-21,0.20815,1,21.041,57.079,15.439,0
1.0521,2.4072,4.6569e-21,0.22351,1,21.112,57.086,15.509,0
1.0526,2.4179,6.3807e-21,0.23785,1,21.183,57.093,15.58,0
1.0682,2.4548,-4.7041e-21,0.24413,1,21.254,57.1,15.65,0
1.0839,2.4918,-1.5789e-20,0.25041,1,21.325,57.107,15.72,0
1.0995,2.5287,-2.6874e-20,0.25669,1,21.396,57.114,15.791,0
1.1152,2.5657,-3.7959e-20,0.26296,1,21.467,57.121,15.861,0
1.1308,2.6026,-4.9044e-20,0.26924,1,21.537,57.128,15.932,0
1.1465,2.6396,-6.0129e-20,0.27552,1,21.608,57.135,16.003,0
1.1452,2.6416,-6.3982e-20,0.27839,1,21.679,57.142,16.073,0
1.1391,2.634,-6.5835e-20,0.28032,1,21.75,57.149,16.143,0
1.1331,2.6264,-6.7688e-20,0.28224,1,21.821,57.156,16.214,0
1.1271,2.6188,-6.954e-20,0.28417,1,21.892,57.163,16.285,0
1.1211,2.6112,-7.1393e-20,0.28609,1,21.962,57.17,16.355,0
1.115,2.6036,-7.3246e-20,0.28802,1,22.033,57.177,16.426,0
1.109,2.596,-7.5099e-20,0.28994,1,22.104,57.184,16.496,0
1.103,2.5892,-7.5954e-20,0.29164,1,22.175,57.191,16.566,0
1.0975,2.5866,-7.1298e-20,0.29205,1,22.246,57.198,16.637,0
1.0919,2.5839,-6.6643e-20,0.29247,1,22.317,57.205,16.708,0
1.0863,2.5813,-6.1987e-20,0.29288,1,22.388,57.212,16.778,0
1.0808,2.5787,-5.7332e-20,0.2933,1,22.458,57.219,16.848,0
1.0752,2.5761,-5.2676e-20,0.29371,1,22.529,57.226,16.919,0
1.0696,2.5734,-4.8021e-20,0.29413,1,22.6,57.233,16.99,0
1.0641,2.5708,-4.3366e-20,0.29454,1,22.671,57.24,17.06,0
1.0585,2.5682,-3.871e-20,0.29496,1,22.742,57.247,17.131,0
1.0551,2.5654,-3.5242e-20,0.29853,1,22.813,57.254,17.201,0
1.0523,2.5625,-3.2135e-20,0.30306,1,22.883,57.261,17.271,0
